ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142838,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 8",150000,161000,176000,3,15,"37.855653 55.743537","37.863863 55.748169","POINT(37.859758 55.745853)","55.745853","37.859758","2016-10-01 00:00:00","myData.biz"
142839,"Московская область","Реутов","Московская область, Реутов, улица Войтовича, 2",102000,129000,142000,3,5,"37.852617 55.752597","37.860827 55.757227","POINT(37.856722 55.754912)","55.754912","37.856722","2016-10-01 00:00:00","myData.biz"
142840,"Московская область","Реутов","Московская область, Реутов, Советская улица, 37",110000,137000,176000,6,17,"37.857809 55.768091","37.866019 55.77272","POINT(37.861914 55.770406)","55.770406","37.861914","2016-10-01 00:00:00","myData.biz"
142841,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 12",129000,129000,129000,1,9,"37.854566 55.744961","37.862777 55.749592","POINT(37.858671 55.747277)","55.747277","37.858671","2016-09-01 00:00:00","myData.biz"
142842,"Московская область","Реутов","Московская область, Реутов, улица Дзержинского, 1",160000,160000,160000,1,12,"37.843939 55.748914","37.852149 55.753544","POINT(37.848044 55.751229)","55.751229","37.848044","2016-09-01 00:00:00","myData.biz"
142843,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 11",155000,155000,155000,1,12,"37.864995 55.746446","37.873206 55.751077","POINT(37.869101 55.748762)","55.748762","37.869101","2016-09-01 00:00:00","myData.biz"
142844,"Московская область","Реутов","Московская область, Реутов, Ашхабадская улица, 23",133000,133000,133000,1,9,"37.857737 55.754714","37.865948 55.759344","POINT(37.861842 55.75703)","55.75703","37.861842","2016-09-01 00:00:00","myData.biz"
142845,"Московская область","Реутов","Московская область, Реутов, Комсомольская улица, 10к1",125000,125000,126000,2,24,"37.848493 55.75206","37.856704 55.75669","POINT(37.852599 55.754375)","55.754375","37.852599","2016-10-01 00:00:00","myData.biz"
142846,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 25",83000,83000,83000,1,6,"37.860576 55.76252","37.868786 55.767149","POINT(37.864681 55.764835)","55.764835","37.864681","2016-09-01 00:00:00","myData.biz"
142847,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 8",141000,141000,141000,1,9,"37.86283 55.74522","37.871041 55.749851","POINT(37.866936 55.747535)","55.747535","37.866936","2016-09-01 00:00:00","myData.biz"
