id,object_name,address
22301,МАКДОНАЛДС,"город Москва, улица Маршала Василевского, дом 17"
158148,Кофе «Кофе собой»,"город Москва, Васильевская улица, дом 2, корпус 1"
24269,Кафе «КАЛИНКА-Д»,"город Москва, Васильевская улица, дом 4"
27131,ТАНУКИ,"город Москва, Велозаводская улица, дом 6"
28501,Авлабар,"город Москва, Велозаводская улица, дом 6"
128946,Суши Сет,"город Москва, Вельяминовская улица, дом 6"
141687,Пироговая Рогова,"город Москва, проспект Вернадского, дом 9/10"
148853,Кафе контдитерская Кузина,"город Москва, проспект Вернадского, дом 11/19"
149149,Суши WoK,"город Москва, проспект Вернадского, дом 11/19"
128511,Аморе,"город Москва, проспект Вернадского, дом 11/19"
24875,Шоколад,"город Москва, проспект Вернадского, дом 11/19"
143755,Тирольские пироги,"город Москва, проспект Вернадского, дом 13"
24604,Кафе 35,"город Москва, улица Кравченко, дом 24/35"
23763,Столовая «ОП МГУ КП МГУ СТОЛОВАЯ 12»,"город Москва, проспект Вернадского, дом 37"
19716,Буфет,"город Москва, проспект Вернадского, дом 86, строение 1"
69990,Панорама 93,"город Москва, проспект Вернадского, дом 93"
20147,Кафе «Пекарня «Мюнгер»»,"город Москва, проспект Вернадского, дом 97, корпус 1"
19989,ГудБар,"город Москва, проспект Вернадского, дом 97, корпус 1"
19761,Бар «Фитнес-бар»,"город Москва, проспект Вернадского, дом 103, корпус 1"
19700,Кафе «ТЕАТР НА ЮГО-ЗАПАДЕ»,"город Москва, проспект Вернадского, дом 125"
24646,Угол,"город Москва, Верхняя улица, дом 3, корпус 2"
155529,Пекарня №1,"город Москва, Весковский переулок, дом 4"
20632,БАР В ФИТНЕС КЛУБЕ,"город Москва, Глазовский переулок, дом 5"
27991,СТОЛОВАЯ ПРИ ВОЕНТОРГБАЗ ФКП «5113ЦТЗБ»,"город Москва, улица Вешних Вод, дом 6, корпус 1"
23169,МАРИНА,"город Москва, улица Вешних Вод, дом 8, корпус 2"
23185,Кафе-бар «Караоке MyzOn»,"город Москва, Вешняковская улица, дом 2"
29549,ПРИ ШКОЛЕ 781,"город Москва, Вешняковская улица, дом 2"
20900,БУФЕТ-РАЗДАТОЧНАЯ,"город Москва, улица Вилиса Лациса, дом 23, корпус 1"
27372,Столовая ГБОУ СОШ №1399,"город Москва, улица Вилиса Лациса, дом 33, корпус 1"
80410,Гамбринус,"город Москва, 1-я Владимирская улица, дом 9"
23229,Пицца Фабрика,"город Москва, 1-я Владимирская улица, дом 14"
126956,"Шаурма, куры-гриль","город Москва, 1-я Владимирская улица, дом 21"
120580,Французская пекарня Delice,"город Москва, 1-я Владимирская улица, дом 39/12"
21449,Буфет при ЦО №1852,"город Москва, 2-я Владимирская улица, дом 22"
73331,Суши фиш,"город Москва, 2-я Владимирская улица, дом 36"
77929,Subway,"город Москва, 2-я Владимирская улица, дом 36"
149531,"Шаурма, куры-гриль","город Москва, 2-я Владимирская улица, дом 44/10"
149428,Домино'с Пицца,"город Москва, 2-я Владимирская улица, дом 52, корпус 2"
25814,Домино'с Пицца,"город Москва, 3-я Владимирская улица, дом 6"
124201,"Шаурма, выпечка","город Москва, 3-я Владимирская улица, дом 27"
27244,Тануки,"город Москва, 3-я Владимирская улица, дом 29"
21590,ШКОЛА 190 ФИЛИАЛ,"город Москва, улица Архитектора Власова, дом 11, корпус 1"
25786,Алло Пицца,"город Москва, улица Архитектора Власова, дом 47"
29605,СТОЛОВАЯ ПРИ ИНСТИТУТЕ ИМ. ПУШКИНА,"город Москва, улица Академика Волгина, дом 6"
24872,Хинкальная,"город Москва, улица Академика Волгина, дом 29, корпус 1"
26051,ДУРДИНЪ,"город Москва, Волгоградский проспект, дом 4"
22005,Кафе «Якитория»,"город Москва, Волгоградский проспект, дом 15"
150836,ГБОУ Школа №1468,"город Москва, Волгоградский проспект, дом 17, строение 1"
25583,Кафе «Чебурекас»,"город Москва, Волгоградский проспект, дом 17, строение 1"
27215,Кафе «Тануки»,"город Москва, Волгоградский проспект, дом 17"
156659,Loft 17,"город Москва, Волгоградский проспект, дом 17"
29282,ГБОУ СОШ № 641 им. Сергея Есенина,"город Москва, Волгоградский проспект, дом 66, корпус 4"
21463,ГБОУ СОШ № 825,"город Москва, Волгоградский проспект, дом 103, корпус 6"
21462,ГБОУ «Лицейско-гимнастический комплекс на Юго-Востоке,"город Москва, Волгоградский проспект, дом 157, корпус 4"
25803,Сити Пицца,"город Москва, Ферганская улица, дом 12"
22833,Кружка,"город Москва, Волоколамское шоссе, дом 3"
22834,ПРО кафе,"город Москва, Волоколамское шоссе, дом 13"
28676,ГП КП МГАИ,"город Москва, Волоколамское шоссе, дом 13"
22835,Чебуречная СССР,"город Москва, Волоколамское шоссе, дом 15/22"
71163,Английский паб Букингем,"город Москва, Волоколамское шоссе, дом 15/22"
156226,Суши-шоп,"город Москва, Волоколамское шоссе, дом 92"
24332,IL PIZZAIOLO,"город Москва, улица Волхонка, дом 6"
25738,Пельмени,"город Москва, улица Волхонка, дом 7/6"
29027,ГБОУ ШКОЛА 896 «КДП»,"город Москва, Воронежская улица, дом 26, корпус 4"
25003,Эко-Няма,"город Москва, Воронцовская улица, дом 13/14, строение 3"
24992,Кафе «Верона»,"город Москва, Воронцовская улица, дом 36, строение 1"
25447,Французская пекарня,"город Москва, Воронцовская улица, дом 48"
22029,Кафе «Subway»,"город Москва, Воронцовская улица, дом 48"
83940,Тирольские пироги,"город Москва, Воронцовская улица, дом 48"
25090,ООО «ТЕАТРО»,"город Москва, Воротниковский переулок, дом 11, строение 1"
26044,Ресторан «Балзи Росси»,"город Москва, Кудринская площадь, дом 1"
74613,Кофе Хаус,"город Москва, Кудринская площадь, дом 1"
76765,Шоколадница,"город Москва, Кудринская площадь, дом 1"
89468,Кафе «Кондитерская Олега Ильина»,"город Москва, Кудринская площадь, дом 1"
89471,Клуб «Высотка»,"город Москва, Кудринская площадь, дом 1"
22691,Хинкала,"город Москва, улица 8 Марта, дом 15"
25487,СУЩЕВСКИЙ ДВОРИК,"город Москва, 2-й Вышеславцев переулок, дом 17"
28692,СТОЛОВАЯ АКАДЕМИИ МЧС РОССИИ,"город Москва, улица Бориса Галушкина, дом 5"
80355,Кофейня Авеню,"город Москва, улица Бориса Галушкина, дом 10"
27703,Кафе,"город Москва, улица Бориса Галушкина, дом 26"
23307,Элит,"город Москва, улица Гастелло, дом 37"
154738,Пекарня,"город Москва, улица Гастелло, дом 37"
19821,Столовая ГБПОУ ЗКНО,"город Москва, Гвардейская улица, дом 15, корпус 1"
133485,Суши Сет,"город Москва, улица Героев Панфиловцев, дом 1, корпус 1"
27369,Столовая ГБОУ СОШ №1286,"город Москва, улица Героев Панфиловцев, дом 13, корпус 1"
135306,Суши Стор,"город Москва, улица Героев Панфиловцев, дом 16, корпус 1"
21296,БУФЕТ,"город Москва, улица Героев Панфиловцев, дом 51"
147931,Кафе «PRIME CAFE»,"город Москва, Большая Никитская улица, дом 24/1, строение 1"
